Scale	'-25.000000	'-24.700000	'-24.400000	'-24.100000	'-23.800000	'-23.500000	'-23.200000	'-22.900000	'-22.600000	'-22.300000	'-22.000000	'-21.700000	'-21.400000	'-21.100000	'-20.800000	'-20.500000	'-20.200000	'-19.900000	'-19.600000	'-19.300000	'-19.000000	'-18.700000	'-18.400000	'-18.100000	'-17.800000	'-17.500000	'-17.200000	'-16.900000	'-16.600000	'-16.300000	'-16.000000	'-15.700000	'-15.400000	'-15.100000	'-14.800000	'-14.500000	'-14.200000	'-13.900000	'-13.600000	'-13.300000	'-13.000000	'-12.700000	'-12.400000	'-12.100000	'-11.800000	'-11.500000	'-11.200000	'-10.900000	'-10.600000	'-10.300000	'-10.000000	'-9.700000	'-9.400000	'-9.100000	'-8.800000	'-8.500000	'-8.200000	'-7.900000	'-7.600000	'-7.300000	'-7.000000	'-6.700000	'-6.400000	'-6.100000	'-5.800000	'-5.500000	'-5.200000	'-4.900000	'-4.600000	'-4.300000	'-4.000000	'-3.700000	'-3.400000	'-3.100000	'-2.800000	'-2.500000	'-2.200000	'-1.900000	'-1.600000	'-1.300000	'-1.000000	'-0.700000	'-0.400000	'-0.100000	'0.200000	'0.500000	'0.800000	'1.100000	'1.400000	'1.700000	'2.000000	'2.300000	'2.600000	'2.900000	'3.200000	'3.500000	'3.800000	'4.100000	'4.400000	'4.700000	'5.000000	'5.300000	'5.600000	'5.900000	'6.200000	'6.500000	'6.800000	'7.100000	'7.400000	'7.700000	'8.000000	'8.300000	'8.600000	'8.900000	'9.200000	'9.500000	'9.800000	'10.100000	'10.400000	'10.700000	'11.000000	'11.300000	'11.600000	'11.900000	'12.200000	'12.500000	'12.800000	'13.100000	'13.400000	'13.700000	'14.000000	'14.300000	'14.600000	'14.900000	'15.200000	'15.500000	'15.800000	'16.100000	'16.400000	'16.700000	'17.000000	'17.300000	'17.600000	'17.900000	'18.200000	'18.500000	'18.800000	'19.100000	'19.400000	'19.700000	'20.000000	'20.300000	'20.600000	'20.900000	'21.200000	'21.500000	'21.800000	'22.100000	'22.400000	'22.700000	'23.000000	'23.300000	'23.600000	'23.900000	'24.200000	'24.500000	'24.800000	
-0.602060	16.290178	16.097156	15.904187	15.711272	15.518413	15.325611	15.132870	14.940189	14.747572	14.555019	14.362534	14.170117	13.977772	13.785500	13.593303	13.401184	13.209144	13.017187	12.825314	12.633528	12.441831	12.250226	12.058716	11.867303	11.675989	11.484778	11.293671	11.102673	10.911785	10.721011	10.530354	10.339816	10.149400	9.959109	9.768947	9.578916	9.389019	9.199260	9.009642	8.820167	8.630838	8.441659	8.252633	8.063762	7.875051	7.686500	7.498115	7.309896	7.121848	6.933973	6.746274	6.558753	6.371413	6.184256	5.997286	5.810503	5.623911	5.437511	5.251306	5.065297	4.879487	4.693875	4.508465	4.323258	4.138254	3.953455	3.768862	3.584476	3.400296	3.216324	3.032560	2.849003	2.665655	2.482514	2.299581	2.116855	1.934335	1.752020	1.569910	1.388004	1.206299	1.024796	0.843492	0.662385	0.481475	0.300758	0.120233	-0.690196	-0.240248	-0.420210	-0.599988	-0.779586	-0.959006	-1.138251	-1.317322	-1.496224	-1.674959	-1.853529	-2.031938	-2.210189	-2.388283	-2.566225	-2.744017	-2.921663	-3.099165	-3.276526	-3.453749	-3.630837	-3.807793	-3.984620	-4.161322	-4.337900	-4.514358	-4.690698	-4.866923	-5.043037	-5.219041	-5.394939	-5.570733	-5.746426	-5.922020	-6.097518	-6.272922	-6.448235	-6.623458	-6.798595	-6.973648	-7.148618	-7.323509	-7.498322	-7.673058	-7.847721	-8.022313	-8.196834	-8.371287	-8.545674	-8.719997	-8.894257	-9.068456	-9.242595	-9.416677	-9.590703	-9.764674	-9.938592	-10.112458	-10.286273	-10.460040	-10.633758	-10.807431	-10.981058	-11.154641	-11.328181	-11.501679	-11.675136	-11.848554	-12.021934	-12.195276	-12.368581	-12.541850	-12.715085	-12.888286	-13.061454	-13.234589	-13.407693	-13.580767	-13.753811	-13.926825	
-0.903090	25.301079	24.998496	24.695961	24.393477	24.091047	23.788674	23.486360	23.184110	22.881926	22.579813	22.277774	21.975813	21.673936	21.372145	21.070447	20.768845	20.467346	20.165955	19.864677	19.563519	19.262486	18.961587	18.660826	18.360212	18.059753	17.759455	17.459328	17.159379	16.859617	16.560052	16.260694	15.961551	15.662634	15.363953	15.065520	14.767345	14.469439	14.171815	13.874485	13.577460	13.280753	12.984376	12.688344	12.392668	12.097361	11.802438	11.507911	11.213795	10.920101	10.626844	10.334038	10.041695	9.749828	9.458451	9.167576	8.877215	8.587382	8.298087	8.009342	7.721158	7.433547	7.146518	6.860081	6.574246	6.289021	6.004415	5.720436	5.437091	5.154387	4.872331	4.590927	4.310182	4.030101	3.750686	3.471943	3.193875	2.916483	2.639771	2.363739	2.088390	1.813722	1.539738	1.266435	0.993813	0.721870	0.450604	0.180012	-1.106209	-0.359166	-0.627760	-0.895699	-1.162987	-1.429632	-1.695640	-1.961021	-2.225782	-2.489933	-2.753483	-3.016442	-3.278822	-3.540634	-3.801890	-4.062601	-4.322781	-4.582443	-4.841599	-5.100264	-5.358450	-5.616173	-5.873446	-6.130283	-6.386699	-6.642707	-6.898322	-7.153557	-7.408427	-7.662945	-7.917125	-8.170980	-8.424522	-8.677766	-8.930723	-9.183405	-9.435824	-9.687992	-9.939920	-10.191619	-10.443098	-10.694369	-10.945440	-11.196321	-11.447022	-11.697550	-11.947915	-12.198123	-12.448183	-12.698102	-12.947886	-13.197543	-13.447079	-13.696499	-13.945810	-14.195017	-14.444125	-14.693139	-14.942065	-15.190905	-15.439666	-15.688350	-15.936961	-16.185504	-16.433981	-16.682396	-16.930752	-17.179052	-17.427299	-17.675495	-17.923643	-18.171745	-18.419803	-18.667820	-18.915798	-19.163738	-19.411642	-19.659512	-19.907350	-20.155157	
-1.204120	33.696826	33.298427	32.900097	32.501839	32.103655	31.705545	31.307511	30.909554	30.511678	30.113882	29.716170	29.318542	28.921001	28.523548	28.126186	27.728916	27.331741	26.934664	26.537685	26.140808	25.744035	25.347369	24.950812	24.554367	24.158036	23.761824	23.365733	22.969767	22.573928	22.178221	21.782649	21.387216	20.991927	20.596786	20.201798	19.806967	19.412300	19.017801	18.623477	18.229335	17.835380	17.441620	17.048063	16.654717	16.261591	15.868694	15.476038	15.083632	14.691489	14.299621	13.908043	13.516768	13.125813	12.735194	12.344932	11.955044	11.565553	11.176482	10.787855	10.399700	10.012044	9.624918	9.238355	8.852389	8.467057	8.082397	7.698451	7.315262	6.932874	6.551333	6.170688	5.790986	5.412279	5.034616	4.658046	4.282619	3.908382	3.535380	3.163656	2.793249	2.424194	2.056521	1.690255	1.325414	0.962012	0.600052	0.239536	-1.575135	-0.477206	-0.833465	-1.188350	-1.541891	-1.894125	-2.245093	-2.594836	-2.943402	-3.290839	-3.637195	-3.982520	-4.326866	-4.670280	-5.012812	-5.354509	-5.695418	-6.035581	-6.375042	-6.713840	-7.052013	-7.389598	-7.726629	-8.063135	-8.399148	-8.734694	-9.069800	-9.404489	-9.738782	-10.072701	-10.406264	-10.739489	-11.072392	-11.404988	-11.737290	-12.069311	-12.401064	-12.732558	-13.063805	-13.394813	-13.725591	-14.056147	-14.386489	-14.716624	-15.046557	-15.376297	-15.705847	-16.035214	-16.364402	-16.693417	-17.022262	-17.350943	-17.679463	-18.007826	-18.336036	-18.664097	-18.992011	-19.319782	-19.647414	-19.974909	-20.302270	-20.629500	-20.956603	-21.283580	-21.610434	-21.937168	-22.263784	-22.590286	-22.916674	-23.242952	-23.569122	-23.895186	-24.221147	-24.547006	-24.872766	-25.198428	-25.523996	-25.849470	-26.174854	-26.500148	
-1.505150	43.146467	42.634246	42.122068	41.609935	41.097848	40.585810	40.073821	39.561884	39.050001	38.538173	38.026403	37.514693	37.003046	36.491465	35.979951	35.468508	34.957140	34.445849	33.934640	33.423515	32.912480	32.401538	31.890694	31.379954	30.869322	30.358804	29.848407	29.338137	28.828001	28.318007	27.808162	27.298476	26.788958	26.279617	25.770466	25.261514	24.752775	24.244262	23.735989	23.227972	22.720227	22.212773	21.705627	21.198811	20.692346	20.186256	19.680566	19.175302	18.670495	18.166174	17.662371	17.159123	16.656465	16.154437	15.653081	15.152440	14.652561	14.153491	13.655283	13.157988	12.661664	12.166366	11.672155	11.179092	10.687240	10.196663	9.707427	9.219599	8.733244	8.248430	7.765224	7.283692	6.803900	6.325910	5.849784	5.375582	4.903360	4.433169	3.965059	3.499073	3.035250	2.573620	2.114211	1.657041	1.202119	0.749451	0.299029	-2.104406	-0.595139	-1.038939	-1.480599	-1.920166	-2.357696	-2.793249	-3.226891	-3.658694	-4.088734	-4.517088	-4.943836	-5.369061	-5.792843	-6.215262	-6.636398	-7.056328	-7.475127	-7.892867	-8.309617	-8.725443	-9.140407	-9.554566	-9.967977	-10.380691	-10.792755	-11.204215	-11.615112	-12.025484	-12.435368	-12.844795	-13.253797	-13.662402	-14.070634	-14.478518	-14.886077	-15.293329	-15.700293	-16.106987	-16.513426	-16.919624	-17.325595	-17.731351	-18.136903	-18.542262	-18.947437	-19.352438	-19.757272	-20.161948	-20.566472	-20.970851	-21.375091	-21.779198	-22.183178	-22.587034	-22.990773	-23.394399	-23.797915	-24.201325	-24.604634	-25.007845	-25.410960	-25.813984	-26.216918	-26.619767	-27.022532	-27.425215	-27.827821	-28.230350	-28.632805	-29.035188	-29.437501	-29.839746	-30.241925	-30.644040	-31.046092	-31.448083	-31.850014	-32.251888	-32.653705	
-1.806180	58.366109	57.665720	56.965331	56.264943	55.564555	54.864168	54.163782	53.463396	52.763012	52.062628	51.362246	50.661866	49.961486	49.261109	48.560734	47.860361	47.159990	46.459622	45.759258	45.058898	44.358542	43.658190	42.957844	42.257505	41.557173	40.856848	40.156534	39.456229	38.755937	38.055659	37.355397	36.655153	35.954930	35.254731	34.554560	33.854420	33.154317	32.454256	31.754244	31.054288	30.354397	29.654582	28.954855	28.255231	27.555725	26.856358	26.157153	25.458139	24.759347	24.060818	23.362596	22.664738	21.967308	21.270386	20.574065	19.878456	19.183695	18.489939	17.797380	17.106245	16.416801	15.729364	15.044304	14.362046	13.683075	13.007936	12.337223	11.671568	11.011618	10.358008	9.711323	9.072061	8.440602	7.817178	7.201869	6.594603	5.995182	5.403307	4.818619	4.240730	3.669252	3.103818	2.544094	1.989789	1.440650	0.896461	0.357038	-2.680646	-0.708142	-1.234181	-1.756035	-2.273842	-2.787747	-3.297906	-3.804482	-4.307651	-4.807595	-5.304504	-5.798572	-6.289992	-6.778956	-7.265654	-7.750267	-8.232970	-8.713926	-9.193292	-9.671209	-10.147810	-10.623219	-11.097544	-11.570889	-12.043344	-12.514992	-12.985907	-13.456157	-13.925802	-14.394894	-14.863483	-15.331612	-15.799319	-16.266638	-16.733601	-17.200235	-17.666565	-18.132614	-18.598400	-19.063942	-19.529256	-19.994358	-20.459258	-20.923971	-21.388506	-21.852873	-22.317081	-22.781138	-23.245052	-23.708829	-24.172475	-24.635997	-25.099399	-25.562686	-26.025863	-26.488934	-26.951903	-27.414773	-27.877548	-28.340231	-28.802826	-29.265334	-29.727759	-30.190103	-30.652368	-31.114558	-31.576673	-32.038716	-32.500690	-32.962595	-33.424434	-33.886209	-34.347921	-34.809571	-35.271163	-35.732696	-36.194172	-36.655593	-37.116961	-37.578275	
-2.107210	79.412832	78.459881	77.506931	76.553981	75.601032	74.648083	73.695135	72.742187	71.789241	70.836295	69.883350	68.930406	67.977464	67.024522	66.071583	65.118645	64.165709	63.212775	62.259844	61.306916	60.353990	59.401069	58.448151	57.495238	56.542329	55.589427	54.636531	53.683642	52.730761	51.777889	50.825027	49.872177	48.919339	47.966516	47.013710	46.060921	45.108153	44.155409	43.202690	42.250001	41.297345	40.344726	39.392148	38.439618	37.487140	36.534722	35.582371	34.630095	33.677905	32.725810	31.773824	30.821960	29.870235	28.918666	27.967274	27.016084	26.065124	25.114427	24.164030	23.213981	22.264335	21.315159	20.366539	19.418582	18.471427	17.525258	16.580326	15.636976	14.695696	13.757189	12.822482	11.893078	10.971171	10.059895	9.163524	8.287418	7.437426	6.618590	5.833553	5.081675	4.359517	3.662287	2.985237	2.324418	1.676841	1.040333	0.413318	-3.302112	-0.816668	-1.421285	-2.019852	-2.612905	-3.200922	-3.784329	-4.363513	-4.938824	-5.510582	-6.079075	-6.644568	-7.207301	-7.767492	-8.325337	-8.881018	-9.434695	-9.986517	-10.536620	-11.085124	-11.632142	-12.177775	-12.722117	-13.265252	-13.807260	-14.348211	-14.888172	-15.427206	-15.965367	-16.502708	-17.039279	-17.575123	-18.110284	-18.644800	-19.178706	-19.712038	-20.244827	-20.777103	-21.308892	-21.840221	-22.371114	-22.901593	-23.431680	-23.961395	-24.490756	-25.019781	-25.548486	-26.076887	-26.604998	-27.132833	-27.660404	-28.187724	-28.714805	-29.241656	-29.768289	-30.294712	-30.820935	-31.346966	-31.872814	-32.398485	-32.923988	-33.449329	-33.974514	-34.499550	-35.024442	-35.549197	-36.073819	-36.598314	-37.122685	-37.646939	-38.171079	-38.695108	-39.219032	-39.742854	-40.266578	-40.790207	-41.313744	-41.837192	-42.360555	-42.883835	
-2.408240	111.356758	110.020508	108.684262	107.348019	106.011779	104.675543	103.339311	102.003084	100.666861	99.330644	97.994434	96.658230	95.322033	93.985845	92.649665	91.313495	89.977336	88.641190	87.305056	85.968937	84.632833	83.296748	81.960682	80.624637	79.288616	77.952621	76.616655	75.280720	73.944821	72.608960	71.273141	69.937370	68.601650	67.265987	65.930388	64.594858	63.259405	61.924037	60.588762	59.253590	57.918533	56.583602	55.248809	53.914170	52.579700	51.245417	49.911340	48.577490	47.243892	45.910571	44.577555	43.244877	41.912570	40.580673	39.249228	37.918281	36.587883	35.258090	33.928963	32.600571	31.272988	29.946296	28.620587	27.295960	25.972527	24.650410	23.329746	22.010687	20.693402	19.378082	18.064943	16.754236	15.446261	14.141398	12.840186	11.543496	10.253007	8.972453	7.710886	6.489848	5.351170	4.340634	3.459088	2.662491	1.910462	1.182262	0.469081	-3.990504	-0.925590	-1.610137	-2.287349	-2.957858	-3.622200	-4.280840	-4.934198	-5.582655	-6.226559	-6.866228	-7.501954	-8.134005	-8.762621	-9.388024	-10.010415	-10.629973	-11.246863	-11.861236	-12.473227	-13.082962	-13.690556	-14.296117	-14.899746	-15.501538	-16.101584	-16.699971	-17.296782	-17.892098	-18.485997	-19.078555	-19.669846	-20.259940	-20.848908	-21.436815	-22.023727	-22.609706	-23.194810	-23.779096	-24.362620	-24.945432	-25.527581	-26.109114	-26.690074	-27.270503	-27.850438	-28.429915	-29.008969	-29.587632	-30.165931	-30.743895	-31.321549	-31.898916	-32.476018	-33.052876	-33.629508	-34.205931	-34.782161	-35.358214	-35.934102	-36.509838	-37.085434	-37.660900	-38.236247	-38.811484	-39.386618	-39.961658	-40.536610	-41.111482	-41.686279	-42.261007	-42.835671	-43.410276	-43.984826	-44.559326	-45.133779	-45.708188	-46.282557	-46.856888	-47.431185	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	

