1	0
2	0
3	0
4	34
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	389
17	377
18	230
19	247
20	0
21	0
22	0
23	0
24	40
25	31
26	17
27	87
28	55
29	4
30	66
31	52
32	97
33	194
34	331
35	320
36	402
37	590
38	609
39	629
40	864
41	864
42	365
43	209
44	472
45	949
46	571
47	90
48	365
49	415
50	263
51	415
52	247
53	5
54	194
55	94
56	24
57	0
58	62
59	50
60	11
61	47
62	30
63	0
64	40
65	104
66	19
67	5
68	21
69	47
70	0
71	59
72	0
73	0
74	0
75	18
76	15
77	36
78	115
79	171
80	90
81	108
82	23
83	0
84	2
85	0
86	0
87	5
88	223
89	71
90	120
91	2
92	115
93	159
94	0
95	115
96	27
97	26
98	183
99	148
100	73
101	55
102	40
103	59
104	79
105	247
106	83
107	94
108	309
109	124
110	40
111	120
112	247
113	188
114	101
115	120
116	50
117	7
118	66
119	47
120	59
121	37
122	97
123	108
124	57
125	238
126	101
127	183
128	281
129	177
130	45
131	148
132	87
133	263
134	97
135	216
136	111
137	115
138	238
139	71
140	442
141	230
142	83
143	331
144	115
145	31
146	33
147	45
148	159
149	104
150	159
151	238
152	64
153	177
154	263
155	34
156	47
157	183
158	201
159	47
160	14
161	19
162	120
163	353
164	62
165	97
166	6
167	43
168	45
169	0
170	45
171	32
172	104
173	64
174	38
175	8
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	20
184	553
185	571
186	649
187	353
188	402
189	786
190	255
191	553
192	715
193	519
194	300
195	271
196	247
197	353
198	263
199	238
200	79
201	94
202	115
203	194
204	124
205	290
206	194
207	71
208	108
209	120
210	153
211	281
212	255
213	309
214	230
215	216
216	148
217	32
218	183
219	255
220	320
221	737
222	761
223	692
224	553
225	442
226	290
227	442
228	223
229	2
230	69
231	45
232	9
233	43
234	2
235	6
236	0
237	45
238	129
239	331
240	153
241	230
242	629
243	377
244	43
245	309
246	104
247	17
248	23
249	134
250	7
251	4
252	90
253	40
254	281
255	309
256	31
257	0
258	0
259	64
260	4
261	6
262	40
263	25
264	43
265	43
266	34
267	43
268	104
269	57
270	34
271	30
272	25
273	28
274	11
275	0
276	15
277	55
278	2
279	2
280	0
281	30
